Port,longitude,latitude
ELLSWORTH,-68.25,44.33
BROOKLIN,-68.35,44.16
BUCKS HARBOR,-68.44,44.2
STONINGTON,-68.4,44.09
CRIEHAVEN,-68.53,43.5
MATINICUS,-68.53,43.52
VINALHAVEN,-68.5,44.03
NORTH HAVEN,-68.52,44.08
CASTINE,-68.44,44.23
SANDYPOINT,-68.49,44.31
BUCKSPORT,-68.47,44.34
WINTERPORT,-68.51,44.38
BANGOR,-68.46,44.48
SEARSPORT,-68.55,44.27
BELFAST,-69,44.25
CAMDEN,-69.04,44.13
ROCKPORT,-69.04,44.11
ROCKLAND,-69.06,44.06
MONHEGAN,-69.19,43.46
PORT CLYDE,-69.15,43.55
THOMASTON,-69.11,44.04
FRIENDSHIP,-69.2,43.58
NEW HARBOR,-69.29,43.52
PEMAQUID BEACH,-69.32,43.52
SOUTH BRISTOL,-69.33,43.52
BOOTHBAY HARBOR,-69.35,43.52
ROBINHOOD,-69.44,43.51
BATH,-69.49,43.55
GARDINER,-69.46,44.14
AUGUSTA,-69.46,44.19
CUNDY HARBOR,-69.54,43.47
SOUTH HARPSWELL,-70.01,43.44
PORTLAND,-70.15,43.4
SACO,-70.27,43.3
KENNEBUNKPORT,-70.28,43.22
PORTSMOUTH,-70.45,43.05
NEWBURYPORT,-70.52,42.49
ROCKPORT,-70.37,42.4
GLOUCESTER,-70.4,42.36
BEVERLY,-70.53,42.32
SALEM,-70.53,42.31
MARBLEHEAD,-70.51,42.3
LYNN,-70.57,42.27
BOSTON,-71.03,42.21
QUINCY,-70.58,42.15
SCITUATE,-70.43,42.12
PLYMOUTH,-70.4,41.57
PROVINCETOWN,-70.11,42.03
HYANNIS,-70.17,41.39
HYANNIS PORT,-70.18,41.38
FALMOUTH,-70.37,41.33
NANTUCKET,-70.06,41.17
EDGARTOWN,-70.3,41.23
VINEYARD HAVEN,-70.36,41.27
WOODS HOLE,-70.4,41.31
NEW BEDFORD,-70.55,41.38
NEWPORT,-71.2,41.3
FALL RIVER,-71.1,41.42
TIVERTON,-71.13,41.38
BRISTOL,-71.16,41.4
PROVIDENCE,-71.24,41.48
QUONSET POINT,-71.24,41.35
DAVISVILLE DEPOT,-71.24,41.37
MONTAUK HARBOR,-71.56,41.04
GREENPORT,-72.22,41.06
STONINGTON,-71.54,41.2
NOANK,-71.59,41.19
MYSTIC,-71.58,41.21
NEW LONDON,-72.05,41.21
NORWICH,-72.05,41.31
ESSEX,-72.23,41.21
NEW HAVEN,-72.55,41.14
PORT JEFFERSON,-73.05,40.57
BRIDGEPORT,-73.11,41.1
SOUTHPORT,-73.17,41.08
NORWALK,-73.25,41.06
STAMFORD,-73.33,41.02
GREENWICH,-73.37,41.01
PORT CHESTER,-73.4,41
CITY ISLAND,-73.47,40.51
BROOKLYN,-74.01,40.4
NEW YORK CITY,-74.01,40.42
PATCHOGUE,-73.01,40.45
YONKERS,-73.54,40.56
NEWBURGH,-74,41.3
POUGHKEEPSIE,-73.57,41.42
KINGSTON,-73.58,41.56
CATSKILL,-73.51,42.13
ALBANY,-73.45,42.39
RENSSELAER,-73.45,42.39
TROY,-73.42,42.44
EDGEWATER,-73.59,40.49
WEEHAWKEN,-74.01,40.46
HOBOKEN,-74.01,40.45
JERSEY CITY,-74.02,40.43
BAYONNE,-74.06,40.41
NEWARK,-74.09,40.42
ELIZABETHPORT,-74.11,40.39
STAPLETON SI,-74.04,40.38
TOMPKINSVILLE SI,-74.04,40.38
PORT RICHMOND SI,-74.08,40.39
MARINERS HARBOR SI,-74.1,40.38
GULFPORT SI,-74.12,40.38
PORT SOCONY,-74.15,40.33
BAYWAY,-74.12,40.38
GRASSELLI,-74.12,40.37
CARTERET,-74.13,40.35
CHROME,-74.13,40.34
PORT READING,-74.14,40.34
SEWAREN,-74.15,40.33
MAURER,-74.15,40.32
PERTH AMBOY,-74.16,40.3
SAYREVILLE,-74.22,40.28
SOUTH AMBOY,-74.16,40.29
LEONARDO,-74.04,40.26
BARNEGAT,-74.06,39.46
ATLANTIC CITY,-74.25,39.22
SALEM NJ,-75.29,39.4
NEW CASTLE,-75.34,39.39
DEEPWATER POINT,-75.31,39.42
WILMINGTON,-75.33,39.44
MARCUS HOOK,-75.25,39.49
CHESTER,-75.21,39.51
PHILADELPHIA,-75.08,39.57
PAULSBORO,-75.15,39.51
GLOUCESTER,-75.08,39.54
CAMDEN,-75.08,39.57
BURLINGTON,-74.52,40.05
BRISTOL,-74.51,40.06
TRENTON,-74.46,40.12
OCEAN CITY,-75.05,38.2
CAPE CHARLES,-76.01,37.16
SALISBURY,-75.36,38.22
HAVRE DE GRACE,-76.05,39.32
BALTIMORE,-76.35,39.16
ANNAPOLIS,-76.29,38.59
SOLOMONS ISLAND,-76.27,38.19
WASHINGTON D.C.,-77.02,38.52
ALEXANDRIA,-77.02,38.48
PINEY POINT,-76.32,38.08
YORKTOWN,-76.3,37.14
WEST POINT,-76.48,37.32
FREDERICKSBURG,-77.27,38.18
NORFOLK,-76.18,36.51
PORTSMOUTH,-76.18,36.49
NEWPORT NEWS,-76.26,36.58
WARWICK,-77.25,37.27
RICHMOND,-77.25,37.32
ELIZABETH CITY,-76.13,36.18
HERTFORD,-76.28,36.11
EDENTON,-76.37,36.03
PLYMOUTH,-76.45,35.52
COLUMBIA,-76.15,35.55
BELHAVEN,-76.37,35.37
WASHINGTON,-77.03,35.33
BAYBORO,-76.46,35.09
NEW BERN,-77.03,35.06
BEAUFORT,-76.4,34.43
MOREHEAD CITY,-76.42,34.43
SWANSBORO,-77.08,34.41
WRIGHTSVILLE,-77.49,34.13
WILMINGTON,-77.57,34.14
SOUTHPORT,-78.01,33.55
GEORGETOWN,-79.17,33.22
CHARLESTON,-79.55,32.47
PORT ROYAL,-80.41,32.22
BEAUFORT,-80.4,32.26
SAVANNAH,-81.05,32.05
DARIEN,-81.26,31.22
BRUNSWICK,-81.3,31.09
FERNANDINA BEACH,-81.28,30.41
MAYPORT,-81.26,30.24
JACKSONVILLE,-81.39,30.19
ST AUGUSTINE,-81.19,29.54
CANAVERAL HARBOR,-80.37,28.42
FORT PIERCE,-80.19,27.28
PALM BEACH,-80.03,26.46
PORT EVERGLADES,-80.07,26.06
MIAMI,-80.11,25.47
KEY WEST,-81.49,24.33
BOCA GRANDE,-82.2,26.42
PORT MANATEE,-82.34,27.38
TAMPA,-82.27,27.55
ST PETERSBURG,-82.37,27.46
TARPON SPRINGS,-82.46,28.09
CARRABELLE,-84.4,29.51
APALACHICOLA,-84.59,29.43
PORT ST JOE,-85.19,29.49
PANAMA CITY,-85.39,30.08
PENSACOLA,-87.13,30.24
MOBILE,-88.07,30.41
PASCAGOULA,-88.34,30.21
BILOXI,-88.53,30.23
GULFPORT,-89.05,30.21
SLIDELL,-89.47,30.16
MADISONVILLE,-90.09,30.24
SOUTHWEST PASS,-90.42,28.27
PORT SULPHUR,-89.41,29.29
GRETNA,-90.04,29.55
NEW ORLEANS,-90.03,29.57
PORT OF MEMPHIS,-90.1,35.04
TRI-CITY PORT,-90.12,38.43
ST. JAMES,-90.56,29.59
CONVENT,-90.5,30.01
ST ROSE,-90.19,29.57
RESERVE,-90.33,30.03
DESTREHAN,-90.22,29.57
BATON ROUGE,-91.11,30.27
LOOP TERMINAL,-90.01,28.53
GRAND ISLE,-90,29.14
MORGAN CITY,-91.13,29.42
HAYMARK TERMINAL,-93.19,30.08
LAKE CHARLES,-93.15,30.13
SABINE,-93.52,29.43
SABINE PASS,-93.54,29.44
ORANGE,-93.44,30.05
PORT ARTHUR,-93.58,29.5
PORT NECHES,-93.57,30
BEAUMONT,-94.05,30.05
GALVESTON,-94.47,29.19
TEXAS CITY,-94.55,29.23
BAYTOWN,-95.01,29.44
NORSWORTHY,-95.12,29.44
PASADENA,-95.13,29.43
SINCO,-95.14,29.43
DEER PARK,-95.2,29.45
HOUSTON,-95.17,29.45
FREEPORT,-95.2,28.57
PALACIOS,-96.13,28.41
PORT LAVACA,-96.37,28.37
PORT OCONNOR,-96.24,28.27
ROCKPORT,-97.03,28.01
CORPUS CHRISTI,-97.24,27.49
PORT ARANSAS,-97.03,27.5
PORT INGLESIDE,-97.11,27.49
PORT ISABEL,-97.12,26.05
BROWNSVILLE,-97.24,25.57
ALTAMIRA,-97.51,22.29
TAMPICO,-97.52,22.13
TUXPAN,-97.24,20.57
VERACRUZ,-96.08,19.12
CAYO ARCAS TERMINAL,-91.59,20.1
COATZACOALCOS,-94.25,18.09
NANCHITAL,-94.25,18.04
MINATITLAN,-94.35,17.54
DOS BOCAS TERMINAL,-93.13,18.26
FRONTERA,-92.39,18.32
CIUDAD DEL CARMEN,-91.52,18.38
CAMPECHE,-90.33,19.51
PROGRESO,-89.4,21.17
SAN MIGUEL DE COZUMEL,-86.58,20.3
BELIZE CITY,-88.11,17.3
PUERTO BARRIOS,-88.36,15.44
